text,token_count,noun_count,verb_count,adj_count,adv_count,pron_count,det_count,other_count,sentiment_score,polarity_score,is_bot_annotation,predicted_label,bot_probability
You are best in the world mr beast[e],9,1,1,1,0,3,1,2,0.96379,0.724406,1,1,0.523456
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1,1,0.801732
@ @@@@,2,0,0,0,0,0,0,2,-0.022129,-0.261513,1,1,0.804112
What about trying it with bigger boat...,8,1,1,1,0,2,0,3,0.053232,-0.186152,0,0,0.385394
Brother come in india[e][e],5,2,1,0,0,0,0,2,0.181092,-0.058292,1,1,0.644132
The camera man is going crazy,6,2,2,1,0,0,1,0,0.455716,0.216332,0,0,0.291652
good,1,0,0,1,0,0,0,0,0.580132,0.340748,1,1,0.714643
24:18 yeah that's fake,5,0,1,1,0,1,1,1,-0.648273,-0.887657,0,0,0.203013
I am from nepal and i also want to play one game [e],15,1,3,1,1,2,1,6,0.252116,0.012732,0,0,0.198372
I'm new subscriber[e] for your channel [e]bro[e][e],11,1,1,1,0,3,1,4,0.583775,0.344391,0,0,0.449137
My name is Komal and I am from a very poor family in India. My parents are laborers and our home is made of mud. Life is difficult but I have one dream  to study and change my familys future. I want to learn and become something in life but I cannot afford coaching or proper study resources. Still I try every day with hope in my heart. I humbly request a little support for my education. Even a small help can change my life and bring happiness to my parents who work very hard every day. Thank you for reading my message and for spreading kindness in the world.  Komal India,121,26,24,5,6,22,7,31,-0.401544,-0.640928,1,1,0.768495
I love Darius the cameraman  He should join more video  Inshallah,11,2,3,1,0,4,1,0,0.977963,0.738579,0,0,0.347424
Fallow me,2,0,1,0,0,1,0,0,0.19116,-0.048224,1,1,0.780257
[e][e][e]Hello MrBeast I truly take no pleasure in having to say this to you but I am currently going through a very difficult time. I am in the 6th grade and my school fees are extremely high. My father is the sole earning member of our family and he struggles to manage our household expenses. I also have a sister who attends school and her fees must be paid as well. We don't even own a home of our own; we live in a rented house. My father earns just $117 out of which he has to pay my sister's and my school fees; consequently there is hardly any money left for us to afford decent food or clothing. We don't even have enough money to buy a vehicle. If you wouldn't mindplease please pleasecould you donate a little money to me? If you do this I will be able to continue my education; otherwise I will be forced to drop out of school. Thank you. And please do reply to me.,192,27,43,10,13,35,11,53,-0.802995,-1.042379,1,1,0.784922
Mrbeast love your videos I'm in need,8,2,2,0,0,3,0,1,0.960287,0.720903,1,1,0.649237
mr best why you got a fake birb,8,1,1,1,1,2,1,1,-0.500502,-0.739886,0,0,0.177909
Dude darious is so cool he should definitely join more challenges!,12,1,4,3,2,1,0,1,0.977701,0.738317,0,0,0.19577
Mr. Beast can you give me 10000$,8,0,2,0,0,4,1,1,0.54256,0.303176,1,1,0.626506
[e][e][e][e][e][e][e][e][e],3,1,0,0,0,0,0,2,0.013888,-0.225496,1,1,0.748676
The way they werent paddling in unison was driving me nuts,12,2,4,0,0,3,1,2,-0.753005,-0.992389,0,0,0.168318
The video is incomplete without saying about nolan's mom[e][e],11,2,2,1,0,1,1,4,-0.79187,-1.031254,0,0,0.17143
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1,1,0.801732
Sona [e],4,0,0,0,0,1,0,3,0.020098,-0.219286,1,1,0.800148
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1,1,0.838401
Nice [e],4,0,0,1,0,0,0,3,0.941641,0.702257,1,1,0.732107
Yess missed chandler and Im so proud of everyone. This was an awesome video,16,2,3,2,1,4,1,3,0.986755,0.747371,0,0,0.207209
Please [e][e][e],4,0,0,0,0,0,0,4,0.328443,0.089059,1,1,0.872307
How did you all not have any life jackets?,10,2,2,0,0,2,1,3,-0.570471,-0.809855,0,0,0.228275
Am from india,3,0,1,0,0,1,0,1,0.197879,-0.041505,1,1,0.783825
Yes [e] beast,5,1,0,0,0,0,0,4,0.195112,-0.044272,1,1,0.802445
I went into coma to see if there were any comments about Epshti Island.,15,2,3,0,0,4,1,5,-0.339251,-0.578635,0,0,0.226253
honestly I like the videos with people competing for something,10,2,2,0,1,2,1,2,0.719769,0.480385,0,0,0.379619
Until you find a way make your own path.[e],10,2,2,1,0,2,1,2,0.047534,-0.19185,0,0,0.202693
Vote For  Darious Deffo back,5,1,1,1,1,0,0,1,0.302344,0.06296,0,0,0.349856
mistebis,1,0,0,0,0,1,0,0,-0.110707,-0.350091,1,1,0.737273
Bro you just stole the video,6,2,1,0,1,1,1,0,-0.792385,-1.031769,0,0,0.254613
Darius did all the hard work hats off bro,9,1,2,1,0,2,2,1,0.907836,0.668452,0,0,0.372041
feels like a mr beast video again! and Darius we see you[e][e],14,3,2,0,1,3,1,4,0.861267,0.621883,0,0,0.354486
El Quatro,2,0,0,0,0,2,0,0,0.102982,-0.136402,1,1,0.797776
better luck next time,4,2,0,2,0,0,0,0,0.836742,0.597358,0,0,0.448623
Hlo,1,0,1,0,0,0,0,0,0.389108,0.149724,1,1,0.827797
Where is tareq ? We miss him in this video,10,2,2,0,0,2,1,3,-0.092321,-0.331705,0,0,0.337296
Im sooo missed for video like this [e][e] New videos fells like... tv show and thats makes me sad. But this video.. i love it. (Sorry for mistakes my English very bad haha),43,9,6,3,1,8,1,15,0.210671,-0.028713,0,0,0.434095
Mr Beast Always great[e],5,0,0,0,2,2,0,1,0.977752,0.738368,1,1,0.562136
SUBSCRIBE [e][e][e],4,0,0,0,0,1,0,3,0.220121,-0.019263,1,1,0.847919
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1,1,0.801732
Most of the video was scavenging for scrap to build a boat? Welcome to the Rust Deep Sea update...,21,4,4,1,0,3,3,6,0.052601,-0.186783,0,0,0.134225
Bro u should make Darius show more in the videos,10,3,3,1,0,1,1,1,0.063017,-0.176367,0,0,0.133245
7:09 whos filming? If thats the cameraman?![e]  Edit:1 I didnt realise drones were a thing mb[e] wait but who was controlling it?,29,6,8,0,0,5,3,7,-0.172696,-0.41208,0,0,0.194833
Why is the Indonesian dubbing sound different?,8,1,2,2,0,0,1,2,-0.299927,-0.539311,0,0,0.131428
Hello Mr. Beast I'm Ahmed Siddiq from Sudan. I have a challenge for you: buy an island in the Nile River and live on Sudanese food. If you don't mind could you participate in renovating my private secondary school Bahri Model School by distributing everything the students need? Do some challenges and please bring a translator with you as I don't speak English. I use text conversion.,76,9,16,3,0,21,6,21,0.196845,-0.042539,1,1,0.799291
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1,1,0.838401
Who 67,2,0,0,0,0,1,1,0,0.130264,-0.10912,1,1,0.758785
Hi MrBeast My name is Ace from the Philippines. I know you receive millions of messages but Im hoping somehow this one reaches you. Last month my father passed away after a road accident. He was 62 years old and the main provider for our family. Losing him has been the hardest moment of our lives. Aside from the pain of losing him we are now struggling to survive without his support. Right now I work as a driver for 1215 hours every day. But the car I drive is not mine. After paying the boundary and fuel I only bring home about 1000 a day. I keep pushing myself because my family depends on me. My biggest dream is simple: to own a 7-seater vehicle so I can work as a TNVS driver with my own unit. Something like a Hyundai Stargazer X Premium would completely change our lives. Instead of paying boundary every trip I drive would directly support my family. Im not asking for a luxury life. I just want the chance to work harder and build a stable future for the people who depend on me. Youve changed the lives of so many people around the world. If by any miracle you see this message it would mean everything to my family. Thank you for inspiring people like me to never give up. God bless you.,255,44,48,10,15,48,27,63,-0.103379,-0.342763,0,0,0.216297
how did yall go to the bathroom,8,1,2,0,0,2,1,2,-0.227101,-0.466485,0,0,0.351812
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1,1,0.876724
Hello Jimmy I am a 13-year-old boy living in the Sultanate of Oman [e]. I am one of your earliest followers and I just want to ask you to buy me an electric scooter because I need it to go to school. Please reply to me and dont ignore me [e],62,5,11,3,1,13,5,24,0.486994,0.24761,1,1,0.799396
yes,1,0,0,0,0,0,0,1,0.377813,0.138429,1,1,0.877684
Bro it's not interesting when you're suffering. Make a video of yourself calling someone and they'll pass the test.,24,3,7,1,0,5,2,6,-0.914911,-1.154295,0,0,0.216319
Mr beast please please   I'm from India Bihar gaya aliganj road no 16 please help me,17,2,2,0,0,7,2,4,0.313727,0.074343,0,0,0.351554
[e][e][e][e],3,0,0,0,0,0,0,3,-0.04668,-0.286064,1,1,0.799264
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1,1,0.876724
I love you,3,0,1,0,0,2,0,0,0.841336,0.601952,1,1,0.819758
W Darius,2,0,0,0,0,2,0,0,0.072129,-0.167255,1,1,0.787552
Hi mr beast  I am your big fan  Bro my English is weak[e] But bro I am  your subscriber  I saw your all videos [e]  It is a really amazing [e]  To bro you can play a minecraft [e]  My id is - LEGEND1428557   and you will come In  India-gujrat-rajkot-jetpur  Please bro  and please you will give me a surprise kit [e][e]                     - Your subscriber                          DHRUMIL                  from jetpur [e].,88,14,14,2,1,23,4,30,0.942536,0.703152,1,1,0.799424
Best[e][e],2,0,0,0,0,1,0,1,0.889236,0.649852,1,1,0.873034
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1,1,0.801732
Buensimo,1,1,0,0,0,0,0,0,0.063118,-0.176266,1,1,0.75858
Darius didn't let em down...Darius the absolute goat,11,1,2,1,0,3,1,3,0.950868,0.711484,0,0,0.430183
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1,1,0.838401
Like to see Darius again in this chanal vidios,9,1,1,1,1,1,1,3,0.551144,0.31176,0,0,0.316337
yessss,1,1,0,0,0,0,0,0,0.805615,0.566231,1,1,0.852639
Yes man [e][e][e][e],5,1,0,0,0,0,0,4,0.672204,0.43282,1,1,0.839503
Hi mr beast,3,1,0,0,0,1,0,1,0.244049,0.004665,1,1,0.794624
If the sail had been made bigger the VAZ would have had a chance. [e][e],18,3,6,1,0,1,3,4,0.343081,0.103697,0,0,0.102148
And I say it Dries truly won the hearts of the fans.,13,2,2,0,1,3,2,3,0.945764,0.70638,0,0,0.377094
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1,1,0.801732
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1,1,0.801732
How [e][e],4,1,0,0,0,0,0,3,-0.028125,-0.267509,1,1,0.737253
mr beast help me,4,1,1,0,0,2,0,0,0.207866,-0.031518,1,1,0.687946
smallest spider i ever saw jimmy,6,2,1,1,1,1,0,0,-0.063849,-0.303233,0,0,0.216312
darious was the MVP on this game[e],8,1,1,1,0,1,2,2,0.91671,0.677326,0,0,0.448541
You are getting old,4,0,2,1,0,1,0,0,-0.38697,-0.626354,0,0,0.241833
First time seeing Nolan be serious,6,1,2,2,0,1,0,0,0.299247,0.059863,0,0,0.216279
Omg,1,0,0,0,0,1,0,0,0.346757,0.107373,1,1,0.864641
Why indonesian dubbing is change?,6,2,1,1,0,0,0,2,-0.230002,-0.469386,0,0,0.261397
you ar g7bh,3,0,1,0,0,1,0,1,-0.062509,-0.301893,1,1,0.694877
Wow great video [e][e][e][e],6,2,0,1,0,0,0,3,0.985558,0.746174,1,1,0.650742
you are,2,0,1,0,0,1,0,0,0.275523,0.036139,1,1,0.798596
If daruis is sitting with mr beast who recording it when they are eating,14,2,5,0,0,4,0,3,-0.004772,-0.244156,0,0,0.217502
I like Mr Bean,4,0,1,0,0,3,0,0,0.823229,0.583845,1,1,0.806832
Without Darius they would've died for sure,8,0,3,1,0,2,0,2,-0.829138,-1.068522,0,0,0.173693
Was there another camera man,5,2,1,0,0,1,1,0,0.008071,-0.231313,0,0,0.451327
7:02 Another cameraman [e],6,1,0,0,0,0,2,3,0.031354,-0.20803,1,1,0.594317
Rust,1,1,0,0,0,0,0,0,0.188276,-0.051108,1,1,0.795358
Wow,1,0,0,0,0,0,0,1,0.635367,0.395983,1,1,0.885472
I am Munna from Bangladesh,5,0,1,0,0,3,0,1,0.114813,-0.124571,1,1,0.708221
Where is Carl now? [e],8,0,1,0,1,1,0,5,-0.020269,-0.259653,1,1,0.620991
obbv fake as... wood is perfect cut lol,9,5,1,1,0,0,0,2,0.267345,0.027961,0,0,0.228808
I don't really like the current Indonesian dubbing I hope the dubbing will be changed to the original in the next video.,24,4,6,3,1,2,4,4,-0.926486,-1.16587,0,0,0.206847
What you mean  your just a YouTuber building with nothing HOWW DID A BARREL SPAWNS ON THE FOREST like your building a boat and there's a random barrel spawned HOWWWW and you brought a tent ts ain't a survival mode this a vacation,45,11,7,1,1,11,8,6,-0.67413,-0.913514,0,0,0.216334
mr beast actually participating in a challenge instead of putting other people through it [e],17,2,2,1,2,3,1,6,-0.068007,-0.307391,0,0,0.167484
"0.3 miles away from the island... [e] This is a powerful reminder that were all just 0.3 miles away from our goals. Im putting 15 hours a day into my stories just to reach my own island one day! The grind never stops. Never giving up! [e][e]""",58,12,7,2,7,6,8,16,0.93542,0.696036,0,0,0.445845
Who was doing the camera when Darius was working and everyone else was also in the frame?,18,2,5,0,2,3,2,4,0.010502,-0.228882,0,0,0.154764
Who was doing the camera when Darius was working and everyone else was also in the frame?,18,2,5,0,2,3,2,4,0.010502,-0.228882,0,0,0.154764
feels good to see MrBeast lose for a while,9,1,3,1,0,1,1,2,0.714839,0.475455,0,0,0.314289
[e][e][e][e][e][e][e][e],3,1,0,0,0,0,0,2,0.007218,-0.232166,1,1,0.746271
I would say Mr beast and his friend should have been in rhythm while paddling because it would have had more power in the turning and moving not sure tho,30,5,10,2,0,5,1,7,0.050659,-0.188725,0,0,0.183305
Darius needs to be added to the main grp bro.,11,1,3,1,0,2,1,3,0.141558,-0.097826,0,0,0.222476
raft in real life?,5,1,0,1,0,1,0,2,0.030805,-0.208579,0,0,0.470632
This felt like Mr beast old videos [e],10,2,1,1,0,2,0,4,-0.189128,-0.428512,0,0,0.258857
yew,1,0,0,0,0,1,0,0,0.154933,-0.084451,1,1,0.831374
This video is not real this video made by 3d animation SGI and vfx dudes,15,6,2,1,0,1,2,3,-0.821561,-1.060945,0,0,0.168675
Why is the Indonesian voice so different from before?,10,1,1,2,2,0,1,3,-0.319395,-0.558779,0,0,0.155109
Jimmy you got a new star cast and the whole audience cheering up for : Darius  First appearance and got everybody's attention and favour,25,6,3,3,0,4,2,7,0.928244,0.68886,0,0,0.267595
uh because they like when we suffer. is soo truee [e][e],14,1,3,0,0,4,0,6,-0.219662,-0.459046,0,0,0.356082
this video is best mr mest [e],9,1,1,1,0,2,1,3,0.977322,0.737938,1,1,0.525
Why is Jimmy's Indonesian dubbing so different from the usual one?[e],13,2,1,3,1,1,1,4,-0.394535,-0.633919,0,0,0.139184
Far cry 3 survival skills would come in handy rn...,11,2,3,2,1,0,1,2,0.222034,-0.01735,0,0,0.098504
[e][e][e][e][e],3,0,0,0,0,0,0,3,-0.041735,-0.281119,1,1,0.800933
[e][e][e][e][e][e],3,0,0,0,0,0,0,3,-0.029133,-0.268517,1,1,0.805089
i like this video  [e][e],7,2,1,0,0,1,1,2,0.97183,0.732446,1,1,0.673944
[e]a,2,0,0,0,0,0,0,2,-0.001212,-0.240596,1,1,0.810851
Good[e],2,1,0,0,0,0,0,1,0.896263,0.656879,1,1,0.84936
Darius in new Chandler now.  From janitor to part of the team,13,3,0,1,1,2,1,5,0.040579,-0.198805,0,0,0.22764
bro Tom Hanks did this by him self and a ball,11,3,1,0,0,4,1,2,-0.019491,-0.258875,0,0,0.310001
Jimmy Im ready to stay in a circle for 100 days or travel halfway across the world in 2 hours. I don't care about the money I just want to prove Im the most determined subscriber from India! [e] Give me one chance.,51,7,9,2,3,7,7,16,0.619019,0.379635,1,1,0.601863
I don't like the sound now I want the old sound,12,2,3,1,1,2,2,1,-0.825194,-1.064578,0,0,0.152796
This feels like to good ol videos,7,1,1,2,0,1,0,2,0.041244,-0.19814,0,0,0.219851
[e][e],3,1,0,0,0,0,0,2,-0.009305,-0.248689,1,1,0.740162
Hi mr beast can you say hi ?,8,1,2,0,0,2,0,3,0.306055,0.066671,1,1,0.629468
THEY BUILT A BOAT ARREST THEM[e][e][e],7,0,1,0,0,4,1,1,-0.614094,-0.853478,0,0,0.277994
Support me,2,0,1,0,0,1,0,0,0.589427,0.350043,1,1,0.829926
Imagine they actually  had the boys boys scout. This would've been epic.,15,2,6,1,1,2,1,2,0.829867,0.590483,0,0,0.118915
Do more.,3,0,1,1,0,0,0,1,0.276252,0.036868,1,1,0.566085
Your voices are different,4,1,1,1,0,1,0,0,0.188885,-0.050499,0,0,0.436061
ima  huge fan mr beast!,8,1,0,1,0,5,0,1,0.968671,0.729287,1,1,0.658048
w-who the recording the cameraman?!,9,1,1,0,0,3,1,3,-0.457205,-0.696589,0,0,0.312149
Finally mr beast is doing his own challeges again,9,2,2,1,2,2,0,0,0.590728,0.351344,0,0,0.179713
Jimmi bro love from India [e][e][e][e][e][e][e][e][e],8,1,0,0,0,4,0,3,0.778767,0.539383,1,1,0.795242
Where is the person who voiced Mr Beast?[e][e],9,1,2,0,0,3,1,2,-0.137938,-0.377322,0,0,0.359379
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1,1,0.801732
Where is the person who voiced Mr Beast?[e][e],9,1,2,0,0,3,1,2,-0.137938,-0.377322,0,0,0.359379
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1,1,0.876724
Typeless,1,1,0,0,0,0,0,0,-0.391112,-0.630496,1,1,0.53769
Darius should join more Of your vidss,7,1,2,1,0,2,0,1,0.28571,0.046326,0,0,0.368096
Finally not some generic game show real og content,9,2,1,2,1,0,1,2,0.218119,-0.021265,0,0,0.147094
Hi jimi love from Bangladesh [e][e][e][e][e][e],8,2,0,0,0,2,0,4,0.87272,0.633336,1,1,0.77782
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1,1,0.838401
RESPECT,1,1,0,0,0,0,0,0,-0.133795,-0.373179,1,1,0.676048
good,1,0,0,1,0,0,0,0,0.580132,0.340748,1,1,0.714643
Darius was working [e][e] give hands for him,10,2,3,0,0,2,0,3,0.170237,-0.069147,0,0,0.409655
Im gey,3,0,1,0,0,2,0,0,0.051641,-0.187743,1,1,0.711136
Hide and seek please [e],7,0,2,0,0,0,0,5,0.049546,-0.189838,1,1,0.707724
You should have used light bamboo while making the baitha so as not to hurt your hands while driving the sail...[e],24,4,6,1,0,2,2,9,-0.134571,-0.373955,0,0,0.164166
Jimmy clean the entire island[e],6,1,1,1,0,1,1,1,0.067076,-0.172308,0,0,0.332425
[e][e][e][e][e],3,0,0,0,0,0,0,3,-0.041735,-0.281119,1,1,0.800933
Waw,1,1,0,0,0,0,0,0,0.204735,-0.034649,1,1,0.799329
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1,1,0.838401
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1,1,0.801732
W darious,2,1,0,1,0,0,0,0,-0.028754,-0.268138,0,0,0.452972
Yea do more challenges but you didn't show what you guys eat and hase doesn't do paddling,19,2,8,1,0,3,0,5,-0.624389,-0.863773,0,0,0.143537
If you had 5 Darius yall would have for sure made it! That man did not stop the whole time!,23,2,6,2,0,5,3,5,0.686882,0.447498,0,0,0.169844
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1,1,0.838401
do this again with mark rober,6,2,1,0,1,1,0,1,0.005734,-0.23365,0,0,0.422097
@Mrbeast Do survival challenges,4,3,1,0,0,0,0,0,0.115516,-0.123868,1,1,0.51587
1:45 it was pretty safe [e][e],8,1,1,1,1,1,1,2,0.875551,0.636167,0,0,0.376885
@mrbeast  give me one challenge please [e][e],9,2,1,0,0,2,1,3,0.217416,-0.021968,1,1,0.51991
Comments be LIKE: THANKS FOR 1K!! MOM I AM FAMOS  NO WAY THANKS FOR 3K!!!,23,7,2,0,0,2,3,9,0.611201,0.371817,0,0,0.252402
Do your challenge mr.beast,4,1,1,0,1,1,0,0,0.264533,0.025149,1,1,0.569564
[e][e][e][e],3,0,0,0,0,0,0,3,-0.04668,-0.286064,1,1,0.799264
Step One: Break Wood Step Two: Make Planks Step three: Make a Crafting Table Step Four: Get Five Planks  Step Five: Place the Planks in the Crafting Table in an U Shape  Step Six: Craft the Boat  Step Seven: Place the Boat in Water  Step Eight: Sit in the Boat Step Nine: Using the W A S and D keys Drive the Boat Till You Reach Safe Lands Step 10: Get Out of the Boat and Ladies and Gentlemen You Have Escaped the Island,94,6,13,0,0,33,22,20,0.052252,-0.187132,0,0,0.489771
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1,1,0.801732
[e][e][e][e][e],3,0,0,0,0,0,0,3,-0.041735,-0.281119,1,1,0.800933
[e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e],3,0,0,0,0,0,0,3,0.038007,-0.201377,1,1,0.824942
[e][e][e][e],3,0,0,0,0,0,0,3,-0.04668,-0.286064,1,1,0.799264
[e][e][e][e],3,0,0,0,0,0,0,3,-0.04668,-0.286064,1,1,0.799264
4:27 in India blue dram is very famous only Indians know[e],12,2,1,2,2,2,1,2,0.659393,0.420009,0,0,0.165376
[e][e][e][e][e],3,0,0,0,0,0,0,3,-0.041735,-0.281119,1,1,0.800933
[e][e][e][e][e][e],3,0,0,0,0,0,0,3,-0.029133,-0.268517,1,1,0.805089
I wish I had a better Wi-Fi to watch ur videos [e],16,1,3,1,0,5,1,5,0.412244,0.17286,0,0,0.269663
Yes Mr beast [e],6,1,0,0,0,1,0,4,0.448535,0.209151,1,1,0.82184
Guys im indonesian people and why the indonesia dub for mrbeast is different people wheres the og one?,21,3,4,4,0,2,3,5,-0.037987,-0.277371,0,0,0.216379
i would say without phones and internet,7,2,2,0,0,1,0,2,0.015768,-0.223616,0,0,0.466937
Hello sir,2,1,0,0,0,0,0,1,0.666022,0.426638,1,1,0.849991
 [e],3,0,0,0,0,0,0,3,0.082198,-0.157186,1,1,0.835997
Mr. Beast help me buy a house,7,1,2,0,0,3,1,0,0.332462,0.093078,1,1,0.523564
Why there 2 blue drum[e],6,0,0,1,1,0,2,2,-0.091409,-0.330793,0,0,0.320407
This is real survival not easy at all [e],11,1,1,2,2,1,0,4,-0.868505,-1.107889,0,0,0.216439
bro skipped admin abuse,4,1,1,1,0,1,0,0,-0.507777,-0.747161,0,0,0.217211
his cameraman looks like a model,6,2,1,0,0,1,1,1,-0.014592,-0.253976,0,0,0.44734
Wow,1,0,0,0,0,0,0,1,0.635367,0.395983,1,1,0.885472
