text,token_count,noun_count,verb_count,adj_count,adv_count,pron_count,det_count,other_count,sentiment_score,polarity_score,is_bot_annotation
Most of the video was scavenging for scrap to build a boat? Welcome to the Rust Deep Sea update...,21,4,4,1,0,3,3,6,0.052601,-0.186783,0
Bro u should make Darius show more in the videos,10,3,3,1,0,1,1,1,0.063017,-0.176367,0
Where is Carl?,4,0,1,0,0,1,0,2,-0.101906,-0.34129,0
Mr beast gimme some money i am kinda poor,9,3,1,1,1,2,1,0,-0.417089,-0.656473,1
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,0
7:09 whos filming? If thats the cameraman?![e]  Edit:1 I didnt realise drones were a thing mb[e] wait but who was controlling it?,29,6,8,0,0,5,3,7,-0.172696,-0.41208,0
All was cooked,3,0,2,0,0,1,0,0,0.274129,0.034745,0
Why is the Indonesian dubbing sound different?,8,1,2,2,0,0,1,2,-0.299927,-0.539311,0
I hope u should take me the game i am big fan for u,14,3,4,1,0,4,1,1,0.960385,0.721001,1
MrBeast sir please give me 20k indian rupees. I took a loan but I am unable to pay it back. If you are seeing this comment please sir  help me. Please [e][e][e],37,6,7,2,0,7,2,13,-0.420923,-0.660307,1
Hello Mr. Beast I'm Ahmed Siddiq from Sudan. I have a challenge for you: buy an island in the Nile River and live on Sudanese food. If you don't mind could you participate in renovating my private secondary school Bahri Model School by distributing everything the students need? Do some challenges and please bring a translator with you as I don't speak English. I use text conversion.,76,9,16,3,0,21,6,21,0.196845,-0.042539,1
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1
Who 67,2,0,0,0,0,1,1,0,0.130264,-0.10912,1
Hi MrBeast My name is Ace from the Philippines. I know you receive millions of messages but Im hoping somehow this one reaches you. Last month my father passed away after a road accident. He was 62 years old and the main provider for our family. Losing him has been the hardest moment of our lives. Aside from the pain of losing him we are now struggling to survive without his support. Right now I work as a driver for 1215 hours every day. But the car I drive is not mine. After paying the boundary and fuel I only bring home about 1000 a day. I keep pushing myself because my family depends on me. My biggest dream is simple: to own a 7-seater vehicle so I can work as a TNVS driver with my own unit. Something like a Hyundai Stargazer X Premium would completely change our lives. Instead of paying boundary every trip I drive would directly support my family. Im not asking for a luxury life. I just want the chance to work harder and build a stable future for the people who depend on me. Youve changed the lives of so many people around the world. If by any miracle you see this message it would mean everything to my family. Thank you for inspiring people like me to never give up. God bless you.,255,44,48,10,15,48,27,63,-0.103379,-0.342763,0
how did yall go to the bathroom,8,1,2,0,0,2,1,2,-0.227101,-0.466485,0
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1
Hello Jimmy I am a 13-year-old boy living in the Sultanate of Oman [e]. I am one of your earliest followers and I just want to ask you to buy me an electric scooter because I need it to go to school. Please reply to me and dont ignore me [e],62,5,11,3,1,13,5,24,0.486994,0.24761,1
yes,1,0,0,0,0,0,0,1,0.377813,0.138429,1
Mrbest check airrock video that he escape the Island 2:28,10,2,2,1,0,3,2,0,0.179333,-0.060051,1
Bro it's not interesting when you're suffering. Make a video of yourself calling someone and they'll pass the test.,24,3,7,1,0,5,2,6,-0.914911,-1.154295,0
Mr beast please please   I'm from India Bihar gaya aliganj road no 16 please help me,17,2,2,0,0,7,2,4,0.313727,0.074343,0
[e][e][e][e],3,0,0,0,0,0,0,3,-0.04668,-0.286064,1
Hi I saw your content. I can help you reply to comments and messages in good English. I can also increase engagement. I can do a free trial if you want.,35,5,9,2,1,8,1,9,0.847801,0.608417,1
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1
can you do a week on a snowy mountain?,10,2,2,1,0,1,2,2,-0.024479,-0.263863,1
I love you,3,0,1,0,0,2,0,0,0.841336,0.601952,1
W Darius,2,0,0,0,0,2,0,0,0.072129,-0.167255,1
Hi mr beast  I am your big fan  Bro my English is weak[e] But bro I am  your subscriber  I saw your all videos [e]  It is a really amazing [e]  To bro you can play a minecraft [e]  My id is - LEGEND1428557   and you will come In  India-gujrat-rajkot-jetpur  Please bro  and please you will give me a surprise kit [e][e]                     - Your subscriber                          DHRUMIL                  from jetpur [e].,88,14,14,2,1,23,4,30,0.942536,0.703152,1
Best[e][e],2,0,0,0,0,1,0,1,0.889236,0.649852,1
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1
Buensimo,1,1,0,0,0,0,0,0,0.063118,-0.176266,1
Darius didn't let em down...Darius the absolute goat,11,1,2,1,0,3,1,3,0.950868,0.711484,0
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1
Like to see Darius again in this chanal vidios,9,1,1,1,1,1,1,3,0.551144,0.31176,0
You be Mac present at the next Al Jazeera video better,11,1,1,2,1,4,1,1,0.42918,0.189796,1
yessss,1,1,0,0,0,0,0,0,0.805615,0.566231,1
You be Mac present at the next Al Jazeera video better,11,1,1,2,1,4,1,1,0.42918,0.189796,1
Do again with me full experience,6,1,1,1,1,1,0,1,0.340815,0.101431,1
You be Mac present at the next Al Jazeera video better [e][e],14,2,1,3,0,4,1,3,0.677226,0.437842,1
You be Mac present at the next Al Jazeera video better [e][e],14,2,1,3,0,4,1,3,0.677226,0.437842,1
You be Mac present at the next Al Jazeera video better,11,1,1,2,1,4,1,1,0.42918,0.189796,1
29:07 You be Mac present at the next Al Jazeera video better,12,1,1,2,1,4,2,1,0.376826,0.137442,1
Yes man [e][e][e][e],5,1,0,0,0,0,0,4,0.672204,0.43282,1
Hi mr beast,3,1,0,0,0,1,0,1,0.244049,0.004665,1
If the sail had been made bigger the VAZ would have had a chance. [e][e],18,3,6,1,0,1,3,4,0.343081,0.103697,0
And I say it Dries truly won the hearts of the fans.,13,2,2,0,1,3,2,3,0.945764,0.70638,0
Hi mr beast come to rajasthan india in 45c normal temperature,11,1,1,1,0,4,1,3,0.347661,0.108277,1
Hay Mr beast I am your biggest fan please come or i come to your home come India [e] again please [e] I not have enough money to your country and please give promotion please,39,6,6,2,1,9,0,15,0.808299,0.568915,1
Dot  vary bro but you and your friends  tried it[e][e][e][e][e][e][e][e][e][e][e],11,3,1,1,0,3,0,3,0.084705,-0.154679,1
33:33,1,0,0,0,0,0,1,0,0.332323,0.092939,0
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1
How [e][e],4,1,0,0,0,0,0,3,-0.028125,-0.267509,1
DARIUS SHOULD BE IN MAIN GROUP!!!!,10,1,2,0,0,2,0,5,0.690198,0.450814,0
mr beast help me,4,1,1,0,0,2,0,0,0.207866,-0.031518,1
smallest spider i ever saw jimmy,6,2,1,1,1,1,0,0,-0.063849,-0.303233,0
darious was the MVP on this game[e],8,1,1,1,0,1,2,2,0.91671,0.677326,0
You are getting old,4,0,2,1,0,1,0,0,-0.38697,-0.626354,0
First time seeing Nolan be serious,6,1,2,2,0,1,0,0,0.299247,0.059863,0
Omg,1,0,0,0,0,1,0,0,0.346757,0.107373,1
Why indonesian dubbing is change?,6,2,1,1,0,0,0,2,-0.230002,-0.469386,0
you ar g7bh,3,0,1,0,0,1,0,1,-0.062509,-0.301893,1
Mr beast plz help me some money 1881032040567 bank account [e][e][e],13,4,1,0,0,2,3,3,0.33723,0.097846,1
Is typeless a useful app? [e],9,2,1,1,0,0,1,4,0.186814,-0.05257,1
Wow great video [e][e][e][e],6,2,0,1,0,0,0,3,0.985558,0.746174,1
you are,2,0,1,0,0,1,0,0,0.275523,0.036139,1
If daruis is sitting with mr beast who recording it when they are eating,14,2,5,0,0,4,0,3,-0.004772,-0.244156,0
Hii  mrbeast please help me Give me $200000 I have been subscribed to you for 2 years; I have not received any gift till date [e] 0:01 0,32,3,8,0,1,5,5,10,-0.519335,-0.758719,1
Day 12 of asking mr beast to put me in a challeng,12,3,2,0,0,2,2,3,-0.153178,-0.392562,1
I like Mr Bean,4,0,1,0,0,3,0,0,0.823229,0.583845,1
Without Darius they would've died for sure,8,0,3,1,0,2,0,2,-0.829138,-1.068522,0
Was there another camera man,5,2,1,0,0,1,1,0,0.008071,-0.231313,0
Thanks for 350 subscribers Plzzzz keep Supporting nd Subscribe more [e][e],13,3,2,0,1,2,2,3,0.959438,0.720054,1
7:02 Another cameraman [e],6,1,0,0,0,0,2,3,0.031354,-0.20803,1
Rust,1,1,0,0,0,0,0,0,0.188276,-0.051108,1
Wow,1,0,0,0,0,0,0,1,0.635367,0.395983,1
I am Munna from Bangladesh,5,0,1,0,0,3,0,1,0.114813,-0.124571,1
Where is Carl now? [e],8,0,1,0,1,1,0,5,-0.020269,-0.259653,1
obbv fake as... wood is perfect cut lol,9,5,1,1,0,0,0,2,0.267345,0.027961,0
Thank you mrbeast for videos,5,1,1,1,0,1,0,1,0.968046,0.728662,0
Mr. Beast how could you steal an idea from Egor Shkred? You didn't respond to his video so you're also stealing,24,2,6,0,1,8,1,6,-0.86042,-1.099804,1
nice dogs,2,1,0,1,0,0,0,0,0.851774,0.61239,0
Straw hat pirates,3,3,0,0,0,0,0,0,-0.00682,-0.246204,0
I don't really like the current Indonesian dubbing I hope the dubbing will be changed to the original in the next video.,24,4,6,3,1,2,4,4,-0.926486,-1.16587,0
What you mean  your just a YouTuber building with nothing HOWW DID A BARREL SPAWNS ON THE FOREST like your building a boat and there's a random barrel spawned HOWWWW and you brought a tent ts ain't a survival mode this a vacation,45,11,7,1,1,11,8,6,-0.67413,-0.913514,0
mr beast actually participating in a challenge instead of putting other people through it [e],17,2,2,1,2,3,1,6,-0.068007,-0.307391,0
"0.3 miles away from the island... [e] This is a powerful reminder that were all just 0.3 miles away from our goals. Im putting 15 hours a day into my stories just to reach my own island one day! The grind never stops. Never giving up! [e][e]""",58,12,7,2,7,6,8,16,0.93542,0.696036,0
Who was doing the camera when Darius was working and everyone else was also in the frame?,18,2,5,0,2,3,2,4,0.010502,-0.228882,0
Who was doing the camera when Darius was working and everyone else was also in the frame?,18,2,5,0,2,3,2,4,0.010502,-0.228882,0
10k like on this and mr. Beast will buy me a pc,13,2,2,0,0,5,1,3,0.61278,0.373396,1
feels good to see MrBeast lose for a while,9,1,3,1,0,1,1,2,0.714839,0.475455,0
[e][e][e][e][e][e][e][e],3,1,0,0,0,0,0,2,0.007218,-0.232166,1
I would say Mr beast and his friend should have been in rhythm while paddling because it would have had more power in the turning and moving not sure tho,30,5,10,2,0,5,1,7,0.050659,-0.188725,0
Darius needs to be added to the main grp bro.,11,1,3,1,0,2,1,3,0.141558,-0.097826,0
raft in real life?,5,1,0,1,0,1,0,2,0.030805,-0.208579,0
This felt like Mr beast old videos [e],10,2,1,1,0,2,0,4,-0.189128,-0.428512,0
yew,1,0,0,0,0,1,0,0,0.154933,-0.084451,1
[e][e][e][e][e][e][e],3,0,0,0,0,1,0,2,-0.009699,-0.249083,0
Mr beast pleas no Arabic yes English pleas [e][e][e][e],11,4,0,2,0,2,0,3,0.058889,-0.180495,1
7:21,1,0,0,0,0,0,1,0,0.15555,-0.083834,0
This video is not real this video made by 3d animation SGI and vfx dudes,15,6,2,1,0,1,2,3,-0.821561,-1.060945,0
Why is the Indonesian voice so different from before?,10,1,1,2,2,0,1,3,-0.319395,-0.558779,0
Jimmy you got a new star cast and the whole audience cheering up for : Darius  First appearance and got everybody's attention and favour,25,6,3,3,0,4,2,7,0.928244,0.68886,0
Come to this house giving away free money ! 40 abernly schnapper rock road,14,4,2,2,1,0,2,3,0.674415,0.435031,1
uh because they like when we suffer. is soo truee [e][e],14,1,3,0,0,4,0,6,-0.219662,-0.459046,0
this video is best mr mest [e],9,1,1,1,0,2,1,3,0.977322,0.737938,1
Why is Jimmy's Indonesian dubbing so different from the usual one?[e],13,2,1,3,1,1,1,4,-0.394535,-0.633919,0
I am amit your YouTube channel life time subscriber  Your biggest fan [e][e],15,6,1,2,0,4,0,2,0.884645,0.645261,1
Far cry 3 survival skills would come in handy rn...,11,2,3,2,1,0,1,2,0.222034,-0.01735,0
[e][e][e][e][e],3,0,0,0,0,0,0,3,-0.041735,-0.281119,1
[e][e][e][e][e][e],3,0,0,0,0,0,0,3,-0.029133,-0.268517,1
i like this video  [e][e],7,2,1,0,0,1,1,2,0.97183,0.732446,1
Every time he was stuck[e][e][e][e],6,1,2,0,0,1,1,1,-0.567046,-0.80643,1
[e]a,2,0,0,0,0,0,0,2,-0.001212,-0.240596,1
Good[e],2,1,0,0,0,0,0,1,0.896263,0.656879,1
Darius in new Chandler now.  From janitor to part of the team,13,3,0,1,1,2,1,5,0.040579,-0.198805,0
bro Tom Hanks did this by him self and a ball,11,3,1,0,0,4,1,2,-0.019491,-0.258875,0
Jimmy Im ready to stay in a circle for 100 days or travel halfway across the world in 2 hours. I don't care about the money I just want to prove Im the most determined subscriber from India! [e] Give me one chance.,51,7,9,2,3,7,7,16,0.619019,0.379635,1
I don't like the sound now I want the old sound,12,2,3,1,1,2,2,1,-0.825194,-1.064578,0
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,0
I am from India please please please please please please please please please please please please please please mr beast take me in your vedio once,26,2,2,0,1,5,0,16,0.562109,0.322725,1
This feels like to good ol videos,7,1,1,2,0,1,0,2,0.041244,-0.19814,0
[e][e],3,1,0,0,0,0,0,2,-0.009305,-0.248689,1
Hi mr beast can you say hi ?,8,1,2,0,0,2,0,3,0.306055,0.066671,1
THEY BUILT A BOAT ARREST THEM[e][e][e],7,0,1,0,0,4,1,1,-0.614094,-0.853478,0
Plz make pistachio flavour in ur choclate,7,3,1,0,0,1,0,2,0.220244,-0.01914,0
Support me,2,0,1,0,0,1,0,0,0.589427,0.350043,1
Imagine they actually  had the boys boys scout. This would've been epic.,15,2,6,1,1,2,1,2,0.829867,0.590483,0
Do more.,3,0,1,1,0,0,0,1,0.276252,0.036868,1
Your voices are different,4,1,1,1,0,1,0,0,0.188885,-0.050499,0
Welcome to Youtuber's  V.S Wild [e],9,0,1,0,0,3,0,5,0.585592,0.346208,0
ima  huge fan mr beast!,8,1,0,1,0,5,0,1,0.968671,0.729287,1
[e][e][e][e],3,0,0,0,0,0,0,3,-0.04668,-0.286064,0
Hii Jimmy can you collab with my channel?,9,1,3,0,0,3,0,2,0.253085,0.013701,1
w-who the recording the cameraman?!,9,1,1,0,0,3,1,3,-0.457205,-0.696589,0
Finally mr beast is doing his own challeges again,9,2,2,1,2,2,0,0,0.590728,0.351344,0
Jimmi bro love from India [e][e][e][e][e][e][e][e][e],8,1,0,0,0,4,0,3,0.778767,0.539383,1
Where is the person who voiced Mr Beast?[e][e],9,1,2,0,0,3,1,2,-0.137938,-0.377322,0
[e][e][e],3,0,0,0,0,0,0,3,-0.039345,-0.278729,1
Where is the person who voiced Mr Beast?[e][e],9,1,2,0,0,3,1,2,-0.137938,-0.377322,0
The gemerz is fighting jaldi jakar search karo[e] please,10,1,2,0,0,4,1,2,-0.181349,-0.420733,1
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,1
Typeless,1,1,0,0,0,0,0,0,-0.391112,-0.630496,1
Darius should join more Of your vidss,7,1,2,1,0,2,0,1,0.28571,0.046326,0
Finally not some generic game show real og content,9,2,1,2,1,0,1,2,0.218119,-0.021265,0
Hi jimi love from Bangladesh [e][e][e][e][e][e],8,2,0,0,0,2,0,4,0.87272,0.633336,1
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,1
RESPECT,1,1,0,0,0,0,0,0,-0.133795,-0.373179,1
