text,token_count,noun_count,verb_count,adj_count,adv_count,pron_count,det_count,other_count,is_bot_annotation
I Lived in pakistand But i watched mr beast vlog bcz Mr beast is best vlogger and youtuber [e],21,5,4,1,0,5,0,6,1
Hello i am from Greece and i think its a very good idea to do a chalenge/ Survival n Creta. Its verry beautiful we are waiting you [e][e] Ps: maybe I could help ( I am 12 years old) I have special abilites and I could help you see the place [e][e],59,6,13,4,2,16,5,13,1
Camera man and that other person that came as a guide i forgot his name they literally carried mr beast and his team,23,7,3,1,1,6,2,3,0
[e] Don't warry but [e],10,0,2,0,0,0,0,8,1
Find myself,2,0,1,0,0,1,0,0,1
I want to join,4,0,2,0,0,1,0,1,1
Darius deffo got a raise after this,7,2,1,0,0,2,1,1,1
Come in India and meet me,6,0,2,0,0,2,0,2,1
yes,1,0,0,0,0,0,0,1,1
Do my challeng stay for 24 hour on the most dangerous island plssssss,13,4,2,1,1,1,2,2,1
i hope to see DARRIUS in the next video,9,2,2,1,0,1,1,2,0
Why do I feel defeated and want to cry? Darius really did his absolute best Better luck next time guys [e],24,3,6,4,1,3,0,7,0
this video totally screpted,4,1,1,0,1,0,1,0,0
Yes go with boys and adventure and videos,8,3,1,0,0,0,0,4,0
Where is the karl,4,1,1,0,0,0,1,1,0
Big fan,2,1,0,1,0,0,0,0,0
Hii mrBeast [e] Cameraman good done [e],11,1,2,1,1,0,0,6,1
Cameraman never dies  Bring him out more,7,1,2,0,2,1,0,1,0
Darius the goat if he's in the video in the next episode that'd would be bangers.,19,4,4,1,0,3,3,4,0
Please give me an iPhone too MrBeast. I am from India.,13,0,2,0,1,5,1,4,1
Build a boat refrence,4,2,1,0,0,0,1,0,0
[e]jxu,2,0,0,0,0,0,1,1,1
[e],3,0,0,0,0,0,0,3,1
You are best in the world mr beast[e],9,1,1,1,0,3,1,2,1
[e][e][e],3,0,0,0,0,0,0,3,1
Darius is the goat man he carried,7,1,2,0,0,3,1,0,0
@ @@@@,2,0,0,0,0,0,0,2,1
What about trying it with bigger boat...,8,1,1,1,0,2,0,3,0
Brother come in india[e][e],5,2,1,0,0,0,0,2,1
MrBeast is the best Youtuber in the history ! He changes the world ! Go go go MrBeast ! [e],22,2,5,1,0,4,3,7,1
GIMMEH MY COOKIE,3,0,0,0,0,3,0,0,0
Mr. Beast noted it correctly.,6,0,1,0,1,3,0,1,0
Overacting,1,0,1,0,0,0,0,0,0
The camera man is going crazy,6,2,2,1,0,0,1,0,0
good,1,0,0,1,0,0,0,0,1
24:18 yeah that's fake,5,0,1,1,0,1,1,1,0
I am from nepal and i also want to play one game [e],15,1,3,1,1,2,1,6,0
I'm new subscriber[e] for your channel [e]bro[e][e],11,1,1,1,0,3,1,4,0
My name is Komal and I am from a very poor family in India. My parents are laborers and our home is made of mud. Life is difficult but I have one dream  to study and change my familys future. I want to learn and become something in life but I cannot afford coaching or proper study resources. Still I try every day with hope in my heart. I humbly request a little support for my education. Even a small help can change my life and bring happiness to my parents who work very hard every day. Thank you for reading my message and for spreading kindness in the world.  Komal India,121,26,24,5,6,22,7,31,1
I love Darius the cameraman  He should join more video  Inshallah,11,2,3,1,0,4,1,0,0
Fallow me,2,0,1,0,0,1,0,0,1
[e][e][e]Hello MrBeast I truly take no pleasure in having to say this to you but I am currently going through a very difficult time. I am in the 6th grade and my school fees are extremely high. My father is the sole earning member of our family and he struggles to manage our household expenses. I also have a sister who attends school and her fees must be paid as well. We don't even own a home of our own; we live in a rented house. My father earns just $117 out of which he has to pay my sister's and my school fees; consequently there is hardly any money left for us to afford decent food or clothing. We don't even have enough money to buy a vehicle. If you wouldn't mindplease please pleasecould you donate a little money to me? If you do this I will be able to continue my education; otherwise I will be forced to drop out of school. Thank you. And please do reply to me.,192,27,43,10,13,35,11,53,1
Mrbeast love your videos I'm in need,8,2,2,0,0,3,0,1,1
mr best why you got a fake birb,8,1,1,1,1,2,1,1,0
Dude darious is so cool he should definitely join more challenges!,12,1,4,3,2,1,0,1,0
Mr. Beast can you give me 10000$,8,0,2,0,0,4,1,1,1
[e][e][e][e][e][e][e][e][e],3,1,0,0,0,0,0,2,1
The way they werent paddling in unison was driving me nuts,12,2,4,0,0,3,1,2,0
The video is incomplete without saying about nolan's mom[e][e],11,2,2,1,0,1,1,4,0
Guys these blue [e] drums were bring here by Mr beast only as you can see in starting the same blue can they carring water in them. So how can a big blue drum can came on an island,42,7,10,4,3,4,4,10,1
[e][e][e],3,0,0,0,0,0,0,3,1
Sona [e],4,0,0,0,0,1,0,3,1
[e],3,0,0,0,0,0,0,3,1
Nice [e],4,0,0,1,0,0,0,3,1
I was here in 2026 watching this,7,0,2,0,1,2,1,1,1
Yess missed chandler and Im so proud of everyone. This was an awesome video,16,2,3,2,1,4,1,3,0
But where is Wilson ?,5,0,1,0,0,1,0,3,0
Please [e][e][e],4,0,0,0,0,0,0,4,1
Mrbeast can you give me 10000 thousand dollars [e] please,12,1,2,0,0,3,2,4,1
How did you all not have any life jackets?,10,2,2,0,0,2,1,3,0
Am from india,3,0,1,0,0,1,0,1,1
Darius deserves appreciation,3,1,1,0,0,1,0,0,0
I have been a subscriber from long time[e][e] but I still didn't get any gift from u [e][e],22,4,4,1,1,3,2,7,1
Yes [e] beast,5,1,0,0,0,0,0,4,1
I went into coma to see if there were any comments about Epshti Island.,15,2,3,0,0,4,1,5,0
honestly I like the videos with people competing for something,10,2,2,0,1,2,1,2,0
Until you find a way make your own path.[e],10,2,2,1,0,2,1,2,0
Vote For  Darious Deffo back,5,1,1,1,1,0,0,1,0
mistebis,1,0,0,0,0,1,0,0,1
Bro you just stole the video,6,2,1,0,1,1,1,0,0
Darius did all the hard work hats off bro,9,1,2,1,0,2,2,1,0
feels like a mr beast video again! and Darius we see you[e][e],14,3,2,0,1,3,1,4,0
El Quatro,2,0,0,0,0,2,0,0,1
I watch your videos all the time and you don't help me at all. Time.      $500 help me [e][e] [e][e][e][e][e][e],28,3,4,0,2,6,3,10,1
better luck next time,4,2,0,2,0,0,0,0,0
Hlo,1,0,1,0,0,0,0,0,1
Where is tareq ? We miss him in this video,10,2,2,0,0,2,1,3,0
Im sooo missed for video like this [e][e] New videos fells like... tv show and thats makes me sad. But this video.. i love it. (Sorry for mistakes my English very bad haha),43,9,6,3,1,8,1,15,0
Mr Beast Always great[e],5,0,0,0,2,2,0,1,1
Hello sir I am from India I need your help please help me .,14,2,3,0,0,5,0,4,1
SUBSCRIBE [e][e][e],4,0,0,0,0,1,0,3,1
W dairus [e],5,1,0,0,0,1,0,3,0
You can do this come on[e],7,0,3,0,0,3,0,1,0
[e][e][e],3,0,0,0,0,0,0,3,1
W darius in the replies!!!,8,2,0,0,0,1,1,4,0
Most of the video was scavenging for scrap to build a boat? Welcome to the Rust Deep Sea update...,21,4,4,1,0,3,3,6,0
Bro u should make Darius show more in the videos,10,3,3,1,0,1,1,1,0
Where is Carl?,4,0,1,0,0,1,0,2,0
Mr beast gimme some money i am kinda poor,9,3,1,1,1,2,1,0,1
Yes,1,0,0,0,0,0,0,1,0
7:09 whos filming? If thats the cameraman?![e]  Edit:1 I didnt realise drones were a thing mb[e] wait but who was controlling it?,29,6,8,0,0,5,3,7,0
All was cooked,3,0,2,0,0,1,0,0,0
Why is the Indonesian dubbing sound different?,8,1,2,2,0,0,1,2,0
I hope u should take me the game i am big fan for u,14,3,4,1,0,4,1,1,1
"""MrBeast sir please give me 20k indian rupees. I took a loan but I am unable to pay it back. If you are seeing this comment please sir  help me."" Please [e][e][e]",39,6,7,2,0,7,2,15,1
Hello Mr. Beast I'm Ahmed Siddiq from Sudan. I have a challenge for you: buy an island in the Nile River and live on Sudanese food. If you don't mind could you participate in renovating my private secondary school Bahri Model School by distributing everything the students need? Do some challenges and please bring a translator with you as I don't speak English. I use text conversion.,76,9,16,3,0,21,6,21,1
[e],3,0,0,0,0,0,0,3,1
Who 67,2,0,0,0,0,1,1,0,1
how did yall go to the bathroom,8,1,2,0,0,2,1,2,0
Yes,1,0,0,0,0,0,0,1,1
Hello Jimmy I am a 13-year-old boy living in the Sultanate of Oman [e]. I am one of your earliest followers and I just want to ask you to buy me an electric scooter because I need it to go to school. Please reply to me and dont ignore me [e],62,5,11,3,1,13,5,24,1
yes,1,0,0,0,0,0,0,1,1
Mrbest check airrock video that he escape the Island 2:28,10,2,2,1,0,3,2,0,1
Bro it's not interesting when you're suffering. Make a video of yourself calling someone and they'll pass the test.,24,3,7,1,0,5,2,6,0
Mr beast please please   I'm from India Bihar gaya aliganj road no 16 please help me,17,2,2,0,0,7,2,4,0
[e][e][e][e],3,0,0,0,0,0,0,3,1
Hi I saw your content. I can help you reply to comments and messages in good English. I can also increase engagement. I can do a free trial if you want.,35,5,9,2,1,8,1,9,1
Yes,1,0,0,0,0,0,0,1,1
can you do a week on a snowy mountain?,10,2,2,1,0,1,2,2,1
I love you,3,0,1,0,0,2,0,0,1
W Darius,2,0,0,0,0,2,0,0,1
Hi mr beast  I am your big fan  Bro my English is weak[e] But bro I am  your subscriber  I saw your all videos [e]  It is a really amazing [e]  To bro you can play a minecraft [e]  My id is - LEGEND1428557   and you will come In  India-gujrat-rajkot-jetpur  Please bro  and please you will give me a surprise kit [e][e]                     - Your subscriber                          DHRUMIL                  from jetpur [e].,88,14,14,2,1,23,4,30,1
Best[e][e],2,0,0,0,0,1,0,1,1
[e][e][e],3,0,0,0,0,0,0,3,1
Buensimo,1,1,0,0,0,0,0,0,1
Darius didn't let em down...Darius the absolute goat,11,1,2,1,0,3,1,3,0
[e],3,0,0,0,0,0,0,3,1
Like to see Darius again in this chanal vidios,9,1,1,1,1,1,1,3,0
You be Mac present at the next Al Jazeera video better,11,1,1,2,1,4,1,1,1
yessss,1,1,0,0,0,0,0,0,1
You be Mac present at the next Al Jazeera video better,11,1,1,2,1,4,1,1,1
Do again with me full experience,6,1,1,1,1,1,0,1,1
You be Mac present at the next Al Jazeera video better [e][e],14,2,1,3,0,4,1,3,1
You be Mac present at the next Al Jazeera video better [e][e],14,2,1,3,0,4,1,3,1
You be Mac present at the next Al Jazeera video better,11,1,1,2,1,4,1,1,1
29:07 You be Mac present at the next Al Jazeera video better,12,1,1,2,1,4,2,1,1
Yes man [e][e][e][e],5,1,0,0,0,0,0,4,1
Hi mr beast,3,1,0,0,0,1,0,1,1
If the sail had been made bigger the VAZ would have had a chance. [e][e],18,3,6,1,0,1,3,4,0
And I say it Dries truly won the hearts of the fans.,13,2,2,0,1,3,2,3,0
Hi mr beast come to rajasthan india in 45c normal temperature,11,1,1,1,0,4,1,3,1
Hay Mr beast I am your biggest fan please come or i come to your home come India [e] again please [e] I not have enough money to your country and please give promotion please,39,6,6,2,1,9,0,15,1
Dot  vary bro but you and your friends  tried it[e][e][e][e][e][e][e][e][e][e][e],11,3,1,1,0,3,0,3,1
33:33,1,0,0,0,0,0,1,0,0
[e][e][e],3,0,0,0,0,0,0,3,1
[e][e][e],3,0,0,0,0,0,0,3,1
How [e][e],4,1,0,0,0,0,0,3,1
DARIUS SHOULD BE IN MAIN GROUP!!!!,10,1,2,0,0,2,0,5,0
mr beast help me,4,1,1,0,0,2,0,0,1
smallest spider i ever saw jimmy,6,2,1,1,1,1,0,0,0
darious was the MVP on this game[e],8,1,1,1,0,1,2,2,0
You are getting old,4,0,2,1,0,1,0,0,0
First time seeing Nolan be serious,6,1,2,2,0,1,0,0,0
Omg,1,0,0,0,0,1,0,0,1
Why indonesian dubbing is change?,6,2,1,1,0,0,0,2,0
you ar g7bh,3,0,1,0,0,1,0,1,1
Mr beast plz help me some money 1881032040567 bank account [e][e][e],13,4,1,0,0,2,3,3,1
Is typeless a useful app? [e],9,2,1,1,0,0,1,4,1
Wow great video [e][e][e][e],6,2,0,1,0,0,0,3,1
you are,2,0,1,0,0,1,0,0,1
If daruis is sitting with mr beast who recording it when they are eating,14,2,5,0,0,4,0,3,0
Hii  mrbeast please help me Give me $200000 I have been subscribed to you for 2 years; I have not received any gift till date [e] 0:01 0,32,3,8,0,1,5,5,10,1
Day 12 of asking mr beast to put me in a challeng,12,3,2,0,0,2,2,3,1
I like Mr Bean,4,0,1,0,0,3,0,0,1
Without Darius they would've died for sure,8,0,3,1,0,2,0,2,0
Was there another camera man,5,2,1,0,0,1,1,0,0
Thanks for 350 subscribers Plzzzz keep Supporting nd Subscribe more [e][e],13,3,2,0,1,2,2,3,1
7:02 Another cameraman [e],6,1,0,0,0,0,2,3,1
Rust,1,1,0,0,0,0,0,0,1
Wow,1,0,0,0,0,0,0,1,1
I am Munna from Bangladesh,5,0,1,0,0,3,0,1,1
Where is Carl now? [e],8,0,1,0,1,1,0,5,1
obbv fake as... wood is perfect cut lol,9,5,1,1,0,0,0,2,0
Thank you mrbeast for videos,5,1,1,1,0,1,0,1,0
Mr. Beast how could you steal an idea from Egor Shkred? You didn't respond to his video so you're also stealing,24,2,6,0,1,8,1,6,1
nice dogs,2,1,0,1,0,0,0,0,0
Straw hat pirates,3,3,0,0,0,0,0,0,0
I don't really like the current Indonesian dubbing I hope the dubbing will be changed to the original in the next video.,24,4,6,3,1,2,4,4,0
What you mean  your just a YouTuber building with nothing HOWW DID A BARREL SPAWNS ON THE FOREST like your building a boat and there's a random barrel spawned HOWWWW and you brought a tent ts ain't a survival mode this a vacation,45,11,7,1,1,11,8,6,0
mr beast actually participating in a challenge instead of putting other people through it [e],17,2,2,1,2,3,1,6,0
"0.3 miles away from the island... [e] This is a powerful reminder that were all just 0.3 miles away from our goals. Im putting 15 hours a day into my stories just to reach my own island one day! The grind never stops. Never giving up! [e][e]""",58,12,7,2,7,6,8,16,0
Who was doing the camera when Darius was working and everyone else was also in the frame?,18,2,5,0,2,3,2,4,0
Who was doing the camera when Darius was working and everyone else was also in the frame?,18,2,5,0,2,3,2,4,0
10k like on this and mr. Beast will buy me a pc,13,2,2,0,0,5,1,3,1
feels good to see MrBeast lose for a while,9,1,3,1,0,1,1,2,0
[e][e][e][e][e][e][e][e],3,1,0,0,0,0,0,2,1
I would say Mr beast and his friend should have been in rhythm while paddling because it would have had more power in the turning and moving not sure tho,30,5,10,2,0,5,1,7,0
Darius needs to be added to the main grp bro.,11,1,3,1,0,2,1,3,0
raft in real life?,5,1,0,1,0,1,0,2,0
This felt like Mr beast old videos [e],10,2,1,1,0,2,0,4,0
yew,1,0,0,0,0,1,0,0,1
[e][e][e][e][e][e][e],3,0,0,0,0,1,0,2,0
Mr beast pleas no Arabic yes English pleas [e][e][e][e],11,4,0,2,0,2,0,3,1
7:21,1,0,0,0,0,0,1,0,0
This video is not real this video made by 3d animation SGI and vfx dudes,15,6,2,1,0,1,2,3,0
Why is the Indonesian voice so different from before?,10,1,1,2,2,0,1,3,0
Jimmy you got a new star cast and the whole audience cheering up for : Darius  First appearance and got everybody's attention and favour,25,6,3,3,0,4,2,7,0
Come to this house giving away free money ! 40 abernly schnapper rock road,14,4,2,2,1,0,2,3,1
"""uh because they like when we suffer."" is soo truee [e][e]",16,1,3,0,0,4,0,8,0
this video is best mr mest [e],9,1,1,1,0,2,1,3,1
Why is Jimmy's Indonesian dubbing so different from the usual one?[e],13,2,1,3,1,1,1,4,0
I am amit your YouTube channel life time subscriber  Your biggest fan [e][e],15,6,1,2,0,4,0,2,1
Far cry 3 survival skills would come in handy rn...,11,2,3,2,1,0,1,2,0
[e][e][e][e][e],3,0,0,0,0,0,0,3,1
[e][e][e][e][e][e],3,0,0,0,0,0,0,3,1
i like this video  [e][e],7,2,1,0,0,1,1,2,1
Every time he was stuck[e][e][e][e],6,1,2,0,0,1,1,1,1
[e]a,2,0,0,0,0,0,0,2,1
Good[e],2,1,0,0,0,0,0,1,1
Darius in new Chandler now.  From janitor to part of the team,13,3,0,1,1,2,1,5,0
bro Tom Hanks did this by him self and a ball,11,3,1,0,0,4,1,2,0
"""Jimmy Im ready to stay in a circle for 100 days or travel halfway across the world in 2 hours. I don't care about the money I just want to prove Im the most determined subscriber from India! [e] Give me one chance.""",53,7,9,2,3,7,7,18,1
I don't like the sound now I want the old sound,12,2,3,1,1,2,2,1,0
[e],3,0,0,0,0,0,0,3,0
I am from India please please please please please please please please please please please please please please mr beast take me in your vedio once,26,2,2,0,1,5,0,16,1
This feels like to good ol videos,7,1,1,2,0,1,0,2,0
[e][e],3,1,0,0,0,0,0,2,1
Hi mr beast can you say hi ?,8,1,2,0,0,2,0,3,1
THEY BUILT A BOAT ARREST THEM[e][e][e],7,0,1,0,0,4,1,1,0
Plz make pistachio flavour in ur choclate,7,3,1,0,0,1,0,2,0
Support me,2,0,1,0,0,1,0,0,1
Imagine they actually  had the boys boys scout. This would've been epic.,15,2,6,1,1,2,1,2,0
Do more.,3,0,1,1,0,0,0,1,1
Your voices are different,4,1,1,1,0,1,0,0,0
Welcome to Youtuber's  V.S Wild [e],9,0,1,0,0,3,0,5,0
ima  huge fan mr beast!,8,1,0,1,0,5,0,1,1
[e][e][e][e],3,0,0,0,0,0,0,3,0
Hii Jimmy can you collab with my channel?,9,1,3,0,0,3,0,2,1
w-who the recording the cameraman?!,9,1,1,0,0,3,1,3,0
Finally mr beast is doing his own challeges again,9,2,2,1,2,2,0,0,0
Jimmi bro love from India [e][e][e][e][e][e][e][e][e],8,1,0,0,0,4,0,3,1
Where is the person who voiced Mr Beast?[e][e],9,1,2,0,0,3,1,2,0
[e][e][e],3,0,0,0,0,0,0,3,1
Where is the person who voiced Mr Beast?[e][e],9,1,2,0,0,3,1,2,0
The gemerz is fighting jaldi jakar search karo[e] please,10,1,2,0,0,4,1,2,1
Yes,1,0,0,0,0,0,0,1,1
Typeless,1,1,0,0,0,0,0,0,1
Darius should join more Of your vidss,7,1,2,1,0,2,0,1,0
Finally not some generic game show real og content,9,2,1,2,1,0,1,2,0
Hi jimi love from Bangladesh [e][e][e][e][e][e],8,2,0,0,0,2,0,4,1
[e],3,0,0,0,0,0,0,3,1
RESPECT,1,1,0,0,0,0,0,0,1
good,1,0,0,1,0,0,0,0,1
Darius was working [e][e] give hands for him,10,2,3,0,0,2,0,3,0
Im gey,3,0,1,0,0,2,0,0,1
Love you[e],3,2,0,0,0,0,0,1,0
Hide and seek please [e],7,0,2,0,0,0,0,5,1
Haha Russian video blogger Yegorik has a video like this did you steal it?,15,3,3,1,0,5,1,2,1
You should have used light bamboo while making the baitha so as not to hurt your hands while driving the sail...[e],24,4,6,1,0,2,2,9,0
Jimmy clean the entire island[e],6,1,1,1,0,1,1,1,0
[e][e][e][e][e],3,0,0,0,0,0,0,3,1
Waw,1,1,0,0,0,0,0,0,1
Your are very Darefull [e],7,0,1,1,1,1,0,3,1
[e],3,0,0,0,0,0,0,3,1
hey jimmy can you please get me on the same challange in other vedio please,15,3,2,2,0,3,1,4,1
[e][e][e],3,0,0,0,0,0,0,3,1
W darious,2,1,0,1,0,0,0,0,0
Yea do more challenges but you didn't show what you guys eat and hase doesn't do paddling,19,2,8,1,0,3,0,5,0
Very boring video,3,1,0,1,1,0,0,0,1
If you had 5 Darius yall would have for sure made it! That man did not stop the whole time!,23,2,6,2,0,5,3,5,0
[e],3,0,0,0,0,0,0,3,1
do this again with mark rober,6,2,1,0,1,1,0,1,0
@Mrbeast Do survival challenges,4,3,1,0,0,0,0,0,1
1:45 it was pretty safe [e][e],8,1,1,1,1,1,1,2,0
@mrbeast  give me one challenge please [e][e],9,2,1,0,0,2,1,3,1
Comments be LIKE: THANKS FOR 1K!! MOM I AM FAMOS  NO WAY THANKS FOR 3K!!!,23,7,2,0,0,2,3,9,0
Do your challenge mr.beast,4,1,1,0,1,1,0,0,1
[e][e][e][e],3,0,0,0,0,0,0,3,1
Step One: Break Wood Step Two: Make Planks Step three: Make a Crafting Table Step Four: Get Five Planks  Step Five: Place the Planks in the Crafting Table in an U Shape  Step Six: Craft the Boat  Step Seven: Place the Boat in Water  Step Eight: Sit in the Boat Step Nine: Using the W A S and D keys Drive the Boat Till You Reach Safe Lands Step 10: Get Out of the Boat and Ladies and Gentlemen You Have Escaped the Island,94,6,13,0,0,33,22,20,0
[e][e][e],3,0,0,0,0,0,0,3,1
[e][e][e][e][e],3,0,0,0,0,0,0,3,1
[e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e],3,0,0,0,0,0,0,3,1
[e][e][e][e],3,0,0,0,0,0,0,3,1
[e][e][e][e],3,0,0,0,0,0,0,3,1
4:27 in India blue dram is very famous only Indians know[e],12,2,1,2,2,2,1,2,0
[e][e][e][e][e],3,0,0,0,0,0,0,3,1
Nice script though [e] try better next time,10,2,1,2,1,0,0,4,1
hello mr beast  I'm asking permission to take a small portion of your video to post on my personal page.,22,5,4,2,0,4,1,6,1
[e][e][e][e][e][e],3,0,0,0,0,0,0,3,1
I wish I had a better Wi-Fi to watch ur videos [e],16,1,3,1,0,5,1,5,0
Today's my birthday but no subscribers,7,3,0,0,0,1,1,2,1
How to join mr beast challenge i dont know can anyone please tell me,15,2,5,0,0,4,0,4,1
Yes Mr beast [e],6,1,0,0,0,1,0,4,1
30:05,1,0,0,0,0,0,1,0,0
29:55,1,0,0,0,0,0,1,0,0
29:44,1,0,0,0,0,0,1,0,0
Mr. Beast I want to make a video with you I am from Bangladesh.,15,1,3,0,0,6,1,4,1
Guys im indonesian people and why the indonesia dub for mrbeast is different people wheres the og one?,21,3,4,4,0,2,3,5,0
i would say without phones and internet,7,2,2,0,0,1,0,2,0
Hello sir,2,1,0,0,0,0,0,1,1
[e],3,0,0,0,0,0,0,3,1
Sir can you help me my mother have cancer problem,10,3,3,0,0,4,0,0,1
Mr. Beast help me buy a house,7,1,2,0,0,3,1,0,1
Does anyone here know how to write a book [e] but have issues in printing and publishing them,20,3,5,0,1,2,1,8,1
Why there 2 blue drum[e],6,0,0,1,1,0,2,2,0
This is real survival not easy at all [e],11,1,1,2,2,1,0,4,0
bro skipped admin abuse,4,1,1,1,0,1,0,0,0
26:42 jimmy's voice [e],7,1,0,0,0,1,1,4,0
his cameraman looks like a model,6,2,1,0,0,1,1,1,0
Wow,1,0,0,0,0,0,0,1,1
I skipped watchimg this video on Saturday the thumbnail of this video has changed 4times wow[e],17,3,4,0,0,3,4,3,0
At this rate Darius will join the team next,9,2,2,0,1,1,2,1,0
Hye mr. Beast I like your videos like this types,11,2,1,0,0,6,1,1,0
My little beasty boy ignition temperature of water is higher than plastic,12,5,1,3,0,1,0,2,0
Put me in bro,4,1,1,0,0,1,0,1,1
I need a laptop please [e] I am new subscriber,12,2,2,1,0,2,1,4,1
Im so glad hase is here too,8,1,2,1,3,1,0,0,1
Tamil dubbed is next level[e][e],6,1,2,1,0,1,0,1,0
Mr Beast please help me My father is so sick and my home in loan and I am job delivery boy but now my condition is not good please give me $10000 it's enough amount for my all problems my english is not good but I trying if I write Hindi language so can better understand you please [e] help,64,10,12,4,4,16,2,16,1
Where is taric,3,0,1,1,0,0,0,1,0
"""I may say I'm gonna give up but until I do I will never give up!""",21,0,8,0,1,4,0,8,0
Wah keren[e][e],3,1,0,0,0,1,0,1,0
[e],3,0,0,0,0,0,0,3,1
[e],3,0,0,0,0,0,0,3,1
[e],3,0,0,0,0,0,0,3,1
Please Mr beast 10000 tarumo,5,2,0,0,0,1,1,1,1
[e],3,0,0,0,0,0,0,3,1
Mr beast you should recreate the steel ball run race cross america from jojos bizarre adventure part 7 which is the best anime which is going to be created and one of the best manga in history so its going to be peak if you can recreate it,48,8,11,4,0,12,5,8,0
[e],3,0,0,0,0,0,0,3,1
Darius carried paddling bro never gave up [e][e],10,2,3,0,1,1,0,3,0
Spiders eat bananas???,6,2,1,0,0,0,0,3,0
We got Mr beast playing build a boat irl nowadays [e][e],13,5,2,0,1,2,1,2,0
Bro. Please support me[e][e][e][e][e],6,1,1,0,0,1,0,3,1
dude what the fake internet theory why is every comment the same and why was there just bamboo on the ground?,22,5,3,2,1,2,4,5,0
Mack make the same video 2 week before,8,2,1,1,0,1,2,1,1
Thanks for (732 Subcribe)[e][e][e][e][e][e][e][e][e][e][e],6,2,0,0,0,0,1,3,1
Wah one night halt in island not terrible.,9,4,0,1,0,0,1,3,0
Oh my god [e][e][e],6,0,0,0,0,0,1,5,1
W darius [e][e][e][e],5,2,0,0,0,1,0,2,1
Mrbeast frod your video is coming challenge but in money I am in India,14,3,4,0,0,4,0,3,0
yes,1,0,0,0,0,0,0,1,1
w darius,2,0,0,0,0,1,1,0,1
Yes very nice video Eid Mubarak,6,1,0,1,1,2,0,1,1
Iran [e],4,0,0,0,0,1,0,3,1
Try again beast,3,1,1,0,1,0,0,0,1
Allah give u more success ..and give u more chance to donate,13,2,3,2,0,3,0,3,1
Darius is like tareq or Chandler all over again hope to see him more in the challenges!,18,2,3,0,4,3,1,5,0
Who fills some things are already planted?,8,1,3,0,1,1,1,1,0
